id,fact
1,"The speed of light is generally rounded down to 186,000 miles per second. In exact terms it is 299,792,458 m/s (metres per second – that is equal to 186,287.49 miles per second)."
2,"It takes 8 minutes 17 seconds for light to travel from the Sun’s surface to the Earth."
3,"October 12th, 1999 was declared “The Day of Six Billion” based on United Nations projections."
4,"10 percent of all human beings ever born are alive at this very moment."
5,"The Earth spins at 1,000 mph but it travels through space at an incredible 67,000 mph."
6,"Every year over one million earthquakes shake the Earth."
7,"When Krakatoa erupted in 1883, its force was so great it could be heard 4,800 kilometres away in Australia."
8,"The largest ever hailstone weighed over 1kg and fell in Bangladesh in 1986."
9,"Every second around 100 lightning bolts strike the Earth."
10,"Every year lightning kills 1000 people."
11,"In October 1999 an Iceberg the size of London broke free from the Antarctic ice shelf ."
12,"If you could drive your car straight up you would arrive in space in just over an hour."
13,"Human tapeworms can grow up to 22.9m."
14,"The Earth is 4.56 billion years old…the same age as the Moon and the Sun."
15,"The dinosaurs became extinct before the Rockies or the Alps were formed."
16,"Female black widow spiders eat their males after mating."
17,"When a flea jumps, the rate of acceleration is 20 times that of the space shuttle during launch."
18,"If our Sun were just inch in diameter, the nearest star would be 445 miles away."
19,"The Australian billygoat plum contains 100 times more vitamin C than an orange."
20,"Astronauts cannot belch – there is no gravity to separate liquid from gas in their stomachs."
21,"The air at the summit of Mount Everest, 29,029 feet is only a third as thick as the air at sea level."
22,"One million, million, million, million, millionth of a second after the Big Bang the Universe was the size of a pea."
23,"DNA was first discovered in 1869 by Swiss Friedrich Mieschler."
24,"The molecular structure of DNA was first determined by Watson and Crick in 1953."
25,"The first synthetic human chromosome was constructed by US scientists in 1997."
26,"The thermometer was invented in 1607 by Galileo."
27,"Englishman Roger Bacon invented the magnifying glass in 1250."
28,"Alfred Nobel invented dynamite in 1866."
29,"Wilhelm Rontgen won the first Nobel Prize for physics for discovering X-rays in 1895."
30,"The tallest tree ever was an Australian eucalyptus – In 1872 it was measured at 435 feet tall."
31,Not a cool fact
32,Not a cool fact
33,Another Fact
34,The 44th fact in the facts.csv file
